id,name
5948390,Macdonald Alveston Limited
927469,Holker Estates Co. Limited
6019320,Zaha Hadid Design Limited
4423860,Fisher Hargreaves Proctor Limited
5455402,S M Roofing Contracts Limited
276496,Dawson-Rodgers & Company Limited
5208855,JCF & Co. UK Holdings Limited
5940625,Dignus Healthcare Limited
393884,Greyfort Holdings Limited
965949,WRH Global UK Ltd
2294057,Ditco Business Services Limited
5251898,Cadbury House Hotel and Country Club Limited
6195106,Nyras Limited
1113282,The Motor Cycle Industry Association Limited
3350254,Hala (Farnborough) Limited
5321902,Academy Services (Sheffield) Limited
4772229,Cyclife UK Ltd
5099053,Central Asia Mining Corporation Ltd
3425183,Ase Corporate Eyecare Limited
4307251,Techgate Limited
4825340,Inxpress Limited
5796766,Touchstone Innovations PLC
37038,"Equitable Life Assurance Society,(The)"
1734484,Cilex Law School Limited
2083071,Henley Centre Headlight Vision Ltd
3140913,Start Judgegill Limited
4622522,Synergy Lighting Ltd
667817,Parkside School Trust
4404752,The Lexis Agency Limited
3373050,Operis Business Engineering Limited
3815473,Broadwood Residential Limited
5536312,The Generation Foundation
317726,Shrigley Dyers Limited
2090479,Campmoss Property Company Limited
3734749,Omnova Performance Chemicals Limited
1425355,St. Edmund's School Trust Limited
2069952,Damon's Restaurants (UK) Limited
3101572,Arena Aviation Limited
3977847,Gti Recruiting Solutions Limited
4746839,Glevum Heating & Plumbing Limited
882371,Smallpeice Trust(The)
727301,Bri Wealth Management PLC
2330977,Design Museum Enterprises Limited
1279971,Healthcare Technology Limited
3267803,Super Camps Limited
4145621,BP Finance P.L.C
4314540,Aeorema Communications PLC
2932622,Elmhurst Ballet School Trust
6054114,Chancerygate (Miller Street) Limited
2187502,Thomas Miller Investment LTD.
4005695,J.C. Services and Son Limited
5319043,The County Hotel Canterbury Limited
5469552,An Suidhe Wind Farm Limited
5729603,Ansco Music Club LTD.
5783445,GHG 5 (London Independent Hospital) Limited
2287517,Cardiff Union Services Limited
5425077,Aurora Kendrick James Limited
2876166,Perspective Publishing Limited
2878762,Clarke Willmott & Clarke Services
4291046,Fair Isaac Europe Limited
4440987,E.F.R. Travel Limited
294907,Town End (Leeds) PLC
4934390,Nnt Lift Company (Fundco 1) Limited
2211068,Cordstrap Limited
2740366,Kindercare (Harrogate) Limited
